region sanitaria,partido,dependencia,nombre,especialidad,año,cant_camas_criticas
II,TRES LOMAS,Municipales,Hosp. Munic. Dr. Domingo V. Girotti,TERAPIA INTENSIVA,2015,1
III,GRAL PINTO,Municipales,Hosp. Munic. Dr. Alberto L. Videla,TERAPIA INTENSIVA,2014,4
III,LINCOLN,Municipales,Hosp.Subz. Munic. Dr. R. O. Miravalle,TERAPIA INTENSIVA,2014,4
III,CHACABUCO,Municipales,Hosp. Munic. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2013,2
III,GRAL PINTO,Municipales,Hosp. Munic. Dr. Alberto L. Videla,TERAPIA INTENSIVA,2013,4
III,LINCOLN,Municipales,Hosp.Subz. Munic. Dr. R. O. Miravalle,TERAPIA INTENSIVA,2013,4
III,CHACABUCO,Municipales,Hosp. Munic. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2012,3
III,GRAL PINTO,Municipales,Hosp. Munic. Dr. Alberto L. Videla,TERAPIA INTENSIVA,2012,4
IV,ROJAS,Municipales,Hosp. Subz. Gral. S. Unzué,TERAPIA INTENSIVA,2010,5
IV,SALTO,Municipales,"Hosp. Munic. de Salto ""Presidente J. D. Perón""",TERAPIA INTENSIVA,2010,4
IV,SAN ANDRES DE GILES,Municipales,Hosp. Munic. San Andrés,TERAPIA INTENSIVA,2010,6
IV,SAN ANDRES DE GILES,Municipales,Hosp. Munic. San Andrés,UNIDAD CORONARIA,2010,5
IV,SAN ANTONIO DE ARECO,Municipales,Hosp. Munic. Emilio Zerboni,TERAPIA INTENSIVA,2010,4
IV,SAN PEDRO,Municipales,Hosp. Subz. Gral. Dr. E. Ruffo,TERAPIA INTENSIVA,2010,4
IV,CARMEN DE ARECO,Provinciales,Hosp. Local Gral. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2010,4
IV,PERGAMINO,Provinciales,Hosp. Interz. Gral. de Ag. San José,CUIDADOS INTENSIVOS,2010,10
IV,PERGAMINO,Provinciales,Hosp. Interz. Gral. de Ag. San José,TERAPIA INTENSIVA,2010,6
IV,PERGAMINO,Provinciales,Hosp. Interz. Gral. de Ag. San José,TERAPIA INTENSIVA INFANTIL,2010,4
IV,SAN NICOLAS,Provinciales,Hosp. Interz. Gral. de Ag. San Felipe,TERAPIA INTENSIVA,2010,12
IV,SAN NICOLAS,Provinciales,Hosp. Interz. Gral. de Ag. San Felipe,TERAPIA INTENSIVA INFANTIL,2010,8
IV,SAN NICOLAS,Provinciales,Hosp. Interz. Gral. de Ag. San Felipe,TERAPIA INTENSIVA NEONATOLOGICA,2010,13
IV,ARRECIFES,Municipales,Hosp. Munic. Santa Francisca Romana,TERAPIA INTENSIVA,2011,4
IV,BARADERO,Municipales,Hosp. Subz. Gral. Dr. L. Piñeiro,TERAPIA INTENSIVA,2011,4
IV,COLON,Municipales,Hosp. Munic. de Colón,TERAPIA INTENSIVA,2011,4
IV,ROJAS,Municipales,Hosp. Subz. Gral. S. Unzué,TERAPIA INTENSIVA,2011,5
IV,SALTO,Municipales,"Hosp. Munic. de Salto """"Presidente J. D. Perón""",TERAPIA INTENSIVA,2011,4
V,MALVINAS ARGENTINAS,Municipales,Hospital Municipal de Rehabilitación Dr. A Drozdowski,TERAPIA INTENSIVA,2010,2
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,TERAPIA INTENSIVA,2011,3
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,UNIDAD CORONARIA,2011,24
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA,2011,17
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA INFANTIL,2011,12
V,MALVINAS ARGENTINAS,Municipales,Hospital Municipal de Rehabilitación Dr. A Drozdowski,TERAPIA INTENSIVA,2011,11
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,UNIDAD CORONARIA,2012,32
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA,2012,34
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA INFANTIL,2012,22
V,MALVINAS ARGENTINAS,Municipales,Hospital Municipal de Rehabilitación Dr. A Drozdowski,TERAPIA INTENSIVA,2012,11
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,UNIDAD CORONARIA,2013,34
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA,2013,32
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA INFANTIL,2013,16
V,MALVINAS ARGENTINAS,Municipales,Hospital Municipal de Rehabilitación Dr. A Drozdowski,TERAPIA INTENSIVA,2013,10
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,UNIDAD CORONARIA,2014,31
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA,2014,32
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA INFANTIL,2014,15
V,MALVINAS ARGENTINAS,Municipales,Hospital Municipal de Rehabilitación Dr. A Drozdowski,TERAPIA INTENSIVA,2014,10
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,UNIDAD CORONARIA,2015,31
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA,2015,30
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA INFANTIL,2015,15
V,MALVINAS ARGENTINAS,Municipales,Hospital Municipal de Rehabilitación Dr. A Drozdowski,TERAPIA INTENSIVA,2015,10
V,MALVINAS ARGENTINAS,Municipales,Ctro. de Alta Compl. Cardiovasc. Pte. J. D. Perón,UNIDAD CORONARIA,2016,31
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA,2016,29
V,MALVINAS ARGENTINAS,Municipales,Hosp. Munic. de Trauma y Emerg. Dr. F. A. Abete,TERAPIA INTENSIVA INFANTIL,2016,15
V,MALVINAS ARGENTINAS,Municipales,Hospital Municipal de Rehabilitación Dr. A Drozdowski,TERAPIA INTENSIVA,2016,10
V,PILAR,Municipales,Hosp. Central de Pilar Juan C. Sanguinetti,TERAPIA INTENSIVA,2009,17
V,PILAR,Municipales,Hosp. Munic. Pediátrico Dr. F. Falcón,TERAPIA INTENSIVA INFANTIL,2009,4
V,SAN ISIDRO,Municipales,Hosp. Munic. Mat. Inf. Comodoro H. Meisner,TERAPIA INTENSIVA NEONATOLOGICA,2009,16
V,PILAR,Municipales,Hosp. Central de Pilar Juan C. Sanguinetti,TERAPIA INTENSIVA,2010,16
V,SAN ISIDRO,Municipales,Hosp. Munic. Mat. Inf. Comodoro H. Meisner,TERAPIA INTENSIVA NEONATOLOGICA,2010,19
V,PILAR,Municipales,Hosp. Munic. Pediátrico Dr. F. Falcón,TERAPIA INTENSIVA INFANTIL,2010,4
V,PILAR,Municipales,Hosp. Central de Pilar Juan C. Sanguinetti,TERAPIA INTENSIVA,2011,16
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal Gral. de Ag. Dr. Lucio Meléndez,TERAPIA INTENSIVA,2015,6
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal Gral. de Ag. Dr. Lucio Meléndez,TERAPIA INTENSIVA INFANTIL,2015,8
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal Gral. de Ag. Dr. Lucio Meléndez,TERAPIA INTENSIVA NEONATOLOGICA,2015,9
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal. Gral. Ag. Dr. Arturo Oñativia,TERAPIA INTENSIVA,2015,8
VI,ALMIRANTE BROWN,Provinciales,Hosp. Zonal. Gral. Ag. Dr. Arturo Oñativia,TERAPIA INTENSIVA NEONATOLOGICA,2015,6
VI,AVELLANEDA,Municipales,Hosp. Munic. Dr. Eduardo Wilde,TERAPIA INTENSIVA,2015,6
VI,AVELLANEDA,Provinciales,Hosp. Subz. Mat. Infantil Ana Goittia,TERAPIA INTENSIVA NEONATOLOGICA,2015,6
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Pedro Fiorito,TERAPIA INTENSIVA,2015,12
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Pedro Fiorito,UNIDAD CORONARIA,2015,6
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Pte. Perón,TERAPIA INTENSIVA,2015,7
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Pte. Perón,TERAPIA INTENSIVA NEONATOLOGICA,2015,3
VI,AVELLANEDA,Provinciales,Hosp. Interz. Gral. de Ag. Pte. Perón,UNIDAD CORONARIA,2015,6
VI,BERAZATEGUI,Provinciales,Hosp. Zonal Gral. de Ag. Evita Pueblo,TERAPIA INTENSIVA,2015,8
VI,BERAZATEGUI,Provinciales,Hosp. Zonal Gral. de Ag. Evita Pueblo,TERAPIA INTENSIVA NEONATOLOGICA,2015,25
VI,ESTEBAN ECHEVERRIA,Municipales,Policlínico S. T. Santamarina,TERAPIA INTENSIVA,2015,7
VI,ESTEBAN ECHEVERRIA,Municipales,Policlínico S. T. Santamarina,TERAPIA INTENSIVA NEONATOLOGICA,2015,7
VI,EZEIZA,Provinciales,Hospital Interzonal Gral. Agudos Eurnekian,TERAPIA INTENSIVA,2015,6
VI,EZEIZA,Provinciales,Hospital Interzonal Gral. Agudos Eurnekian,TERAPIA INTENSIVA NEONATOLOGICA,2015,7
VI,FLORENCIO VARELA,Provinciales,Hosp. Zonal Gral. de Ag. Mi Pueblo,TERAPIA INTENSIVA,2015,9
VI,FLORENCIO VARELA,Provinciales,Hosp. Zonal Gral. de Ag. Mi Pueblo,TERAPIA INTENSIVA NEONATOLOGICA,2015,20
VI,FLORENCIO VARELA,Provinciales,Hosp. de Alta Compl. El Cruce,ADMISION PACIENTE CRITICO,2015,8
VI,FLORENCIO VARELA,Provinciales,Hosp. de Alta Compl. El Cruce,TERAPIA INTENSIVA,2015,17
VI,FLORENCIO VARELA,Provinciales,Hosp. de Alta Compl. El Cruce,UNIDAD CORONARIA,2015,16
VI,FLORENCIO VARELA,Provinciales,Hosp. de Alta Compl. El Cruce,TERAPIA INTENSIVA INFANTIL,2015,26
VI,LANUS,Provinciales,Hosp. Zonal Gral. de Ag. Narciso López,TERAPIA INTENSIVA,2015,4
VI,LANUS,Provinciales,Hosp. Zonal Gral. de Ag. Narciso López,UNIDAD CORONARIA,2015,5
VI,LANUS,Provinciales,Hosp. Zonal Gral. de Ag. Narciso López,TERAPIA INTENSIVA NEONATOLOGICA,2015,3
VI,LANUS,Provinciales,Hosp. Interz. Gral. de Ag. Evita,TERAPIA INTENSIVA,2015,8
VI,LANUS,Provinciales,Hosp. Interz. Gral. de Ag. Evita,UNIDAD CORONARIA,2015,7
VI,LANUS,Provinciales,Hosp. Interz. Gral. de Ag. Evita,CUIDADOS INTENSIVOS PEDIATRICOS,2015,5
VI,LANUS,Provinciales,Hosp. Interz. Gral. de Ag. Evita,TERAPIA INTENSIVA NEONATOLOGICA,2015,4
VI,LOMAS DE ZAMORA,Municipales,Hosp. Mat. Infantil Dr. Oscar E. Alende,TERAPIA INTENSIVA INFANTIL,2015,6
VI,LOMAS DE ZAMORA,Municipales,Hosp. Mat. Infantil Dr. Oscar E. Alende,TERAPIA INTENSIVA NEONATOLOGICA,2015,12
VI,LOMAS DE ZAMORA,Provinciales,Hosp. Interz. Gral. de Ag. Luisa C. de Gandulfo,TERAPIA INTENSIVA,2015,8
VI,LOMAS DE ZAMORA,Provinciales,Hosp. Interz. Gral. de Ag. Luisa C. de Gandulfo,UNIDAD CORONARIA,2015,5
VI,LOMAS DE ZAMORA,Provinciales,Hosp. Interz. Gral. de Ag. Luisa C. de Gandulfo,TERAPIA INTENSIVA NEONATOLOGICA,2015,17
VI,QUILMES,Municipales,Hosp. Subz. Esp. Mat. Infantil Dr. Eduardo Oller,TERAPIA INTENSIVA NEONATOLOGICA,2015,10
VI,QUILMES,Provinciales,Hosp. Zonal Gral. de Ag. Dr. I. Iriarte,TERAPIA INTENSIVA,2015,10
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA,2009,10
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA INFANTIL,2009,5
VII,GRAL RODRIGUEZ,Provinciales,Hosp. Interz. Gral. de Ag. Vte. Lopez y Planes,TERAPIA INTENSIVA NEONATOLOGICA,2009,23
VII,LUJAN,Municipales,Hosp. Munic. Ntra. Sra. de Luján,TERAPIA INTENSIVA,2016,7
VII,LUJAN,Nacionales,Colonia Nac. Dr. Manuel A. Montes de Oca,CUIDADOS ESPECIALES,2016,7
VII,LUJAN,Municipales,Hosp. Munic. Ntra. Sra. de Luján,TERAPIA INTENSIVA,2015,7
VII,LUJAN,Nacionales,Colonia Nac. Dr. Manuel A. Montes de Oca,CUIDADOS ESPECIALES,2015,8
VII,LUJAN,Municipales,Hosp. Munic. Ntra. Sra. de Luján,TERAPIA INTENSIVA,2014,7
VII,LUJAN,Nacionales,Colonia Nac. Dr. Manuel A. Montes de Oca,CUIDADOS ESPECIALES,2014,8
VII,LUJAN,Municipales,Hosp. Munic. Ntra. Sra. de Luján,TERAPIA INTENSIVA,2013,7
VII,LUJAN,Nacionales,Colonia Nac. Dr. Manuel A. Montes de Oca,CUIDADOS ESPECIALES,2013,8
VII,LUJAN,Municipales,Hosp. Munic. Ntra. Sra. de Luján,TERAPIA INTENSIVA,2012,7
VII,LUJAN,Nacionales,Colonia Nac. Dr. Manuel A. Montes de Oca,CUIDADOS ESPECIALES,2012,8
VII,LUJAN,Municipales,Hosp. Munic. Ntra. Sra. de Luján,TERAPIA INTENSIVA,2011,5
VII,LUJAN,Nacionales,Colonia Nac. Dr. Manuel A. Montes de Oca,CUIDADOS ESPECIALES,2011,8
VII,LUJAN,Nacionales,Colonia Nac. Dr. Manuel A. Montes de Oca,CUIDADOS ESPECIALES,2010,9
VII,LUJAN,Nacionales,Colonia Nac. Dr. Manuel A. Montes de Oca,CUIDADOS ESPECIALES,2009,9
VII,MARCOS PAZ,Municipales,Hosp. Dr. Hétor J. D'Agnillo,TERAPIA INTENSIVA,2016,7
VII,MARCOS PAZ,Municipales,Hosp. Dr. Hétor J. D'Agnillo,TERAPIA INTENSIVA,2015,7
VII,MARCOS PAZ,Municipales,Hosp. Dr. Hétor J. D'Agnillo,TERAPIA INTENSIVA,2014,7
VII,MARCOS PAZ,Municipales,Hosp. Dr. Hétor J. D'Agnillo,TERAPIA INTENSIVA,2013,7
VII,MARCOS PAZ,Municipales,Hosp. Dr. Hétor J. D'Agnillo,TERAPIA INTENSIVA,2012,7
VII,MARCOS PAZ,Municipales,Hosp. Dr. Hétor J. D'Agnillo,TERAPIA INTENSIVA,2011,7
VII,MARCOS PAZ,Municipales,Hosp. Dr. Hétor J. D'Agnillo,TERAPIA INTENSIVA,2010,7
VII,MARCOS PAZ,Municipales,Hosp. Dr. Hétor J. D'Agnillo,TERAPIA INTENSIVA,2009,4
VII,MERLO,Municipales,Hosp. Munic. Eva Perón,TERAPIA INTENSIVA,2016,13
VIII,AYACUCHO,Municipales,Hosp. Local Munic. Dr. Pedro Solanet,TERAPIA INTENSIVA,2015,5
VIII,BALCARCE,Municipales,Hosp. Subz. Munic. de Balcarce,TERAPIA INTENSIVA,2015,7
VIII,GRAL ALVARADO,Municipales,Hosp. Munic. Dr. Mariano Cassano,TERAPIA INTENSIVA,2015,4
VIII,GRAL MADARIAGA,Municipales,Hosp. Munic. Ana R. S. de Martínez Guerrero,TERAPIA INTENSIVA,2015,3
VIII,GRAL PUEYRREDON,Provinciales,Hosp. Interz. Esp. Mat. Infantil Don V. Tetamanti,TERAPIA INTENSIVA INFANTIL,2015,8
VIII,GRAL PUEYRREDON,Provinciales,Hosp. Interz. Esp. Mat. Infantil Don V. Tetamanti,TERAPIA INTENSIVA NEONATOLOGICA,2015,20
VIII,GRAL PUEYRREDON,Provinciales,Hosp. Interz. Gral. de Ag. Dr. O. Alende,TERAPIA INTENSIVA,2015,18
VIII,GRAL PUEYRREDON,Provinciales,Hosp. Interz. Gral. de Ag. Dr. O. Alende,UNIDAD CORONARIA,2015,8
VIII,LA COSTA,Municipales,Hosp. Munic. Carlos F. Macías,TERAPIA INTENSIVA,2015,4
VIII,LA COSTA,Municipales,Unid. Munic. Roberto L. Dios,TERAPIA INTENSIVA,2015,2
VIII,LOBERIA,Municipales,Hosp. Munic. Gaspar Campos,TERAPIA INTENSIVA,2015,4
VIII,MAIPU,Municipales,Hosp. Subz. de Maipú,TERAPIA INTENSIVA,2015,4
VIII,NECOCHEA,Municipales,Hosp. Munic. Dr. Emilio Ferreyra,TERAPIA INTENSIVA,2015,6
VIII,SAN CAYETANO,Municipales,Hosp. Munic. Alberto Menditeguy,TERAPIA INTENSIVA,2015,4
VIII,TANDIL,Municipales,Hosp. Munic. Ramón Santamarina,TERAPIA INTENSIVA,2015,6
VIII,VILLA GESELL,Municipales,Hosp. Munic. de Ag. Dr. Arturo Illia,TERAPIA INTENSIVA,2015,3
IX,GRAL LA MADRID,Municipales,Hosp. Munic. M. Etchegaray,TERAPIA INTENSIVA,2015,4
IX,LAPRIDA,Municipales,Hosp. Dr. Pedro S. Sancholuz,TERAPIA INTENSIVA,2015,5
IX,OLAVARRIA,Municipales,Hosp. Zonal Munic. Dr. Héctor Cura,TERAPIA INTENSIVA,2015,8
IX,OLAVARRIA,Municipales,Hosp. Zonal Munic. Dr. Héctor Cura,UNIDAD CORONARIA,2015,5
IX,OLAVARRIA,Municipales,Hosp. Zonal Munic. Dr. Héctor Cura,TERAPIA INTENSIVA INFANTIL,2015,5
IX,RAUCH,Municipales,Hosp. Munic. Gral. E. Díaz Vélez,TERAPIA INTENSIVA,2015,4
IX,AZUL,Municipales,Hosp. Munic. Dr. Angel Pintos,CUIDADOS ESPECIALES,2014,15
IX,AZUL,Municipales,Hosp. Munic. Dr. Angel Pintos,TERAPIA INTENSIVA,2014,9
IX,BENITO JUAREZ,Municipales,Ente Descent. Hosp. Dr. A. Saintout,TERAPIA INTENSIVA,2014,5
IX,BOLIVAR,Municipales,Hosp. Subz. Gral. Dr. M. A. Capredoni,TERAPIA INTENSIVA,2014,5
IX,GRAL LA MADRID,Municipales,Hosp. Munic. M. Etchegaray,TERAPIA INTENSIVA,2014,4
IX,LAPRIDA,Municipales,Hosp. Dr. Pedro S. Sancholuz,TERAPIA INTENSIVA,2014,5
IX,OLAVARRIA,Municipales,Hosp. Zonal Munic. Dr. Héctor Cura,TERAPIA INTENSIVA,2014,7
IX,OLAVARRIA,Municipales,Hosp. Zonal Munic. Dr. Héctor Cura,UNIDAD CORONARIA,2014,5
X,BRAGADO,Municipales,Hosp. Munic. San Luis,TERAPIA INTENSIVA,2014,3
X,BRAGADO,Municipales,Hosp. Munic. San Luis,TERAPIA INTENSIVA,2013,3
X,BRAGADO,Municipales,Hosp. Munic. San Luis,TERAPIA INTENSIVA,2012,3
X,BRAGADO,Municipales,Hosp. Munic. San Luis,TERAPIA INTENSIVA,2011,5
X,BRAGADO,Municipales,Hosp. Munic. San Luis,TERAPIA INTENSIVA,2010,5
X,BRAGADO,Municipales,Hosp. Munic. San Luis,TERAPIA INTENSIVA,2009,6
X,CHIVILCOY,Municipales,Hosp. Munic. de Chivilcoy,TERAPIA INTENSIVA,2016,5
X,CHIVILCOY,Municipales,Hosp. Munic. de Chivilcoy,TERAPIA INTENSIVA,2015,5
X,CHIVILCOY,Municipales,Hosp. Munic. de Chivilcoy,TERAPIA INTENSIVA,2014,5
X,VEINTICINCO DE MAYO,Municipales,Hosp. Subz. Saturnino Unzué,TERAPIA INTENSIVA,2015,8
XI,CORONEL BRANDSEN,Municipales,Hosp. Munic. Dr. Francisco Caram,TERAPIA INTENSIVA,2009,3
XI,DOLORES,Municipales,Unid. Hospitalaria San Roque,TERAPIA INTENSIVA,2016,6
XI,DOLORES,Municipales,Unid. Hospitalaria San Roque,TERAPIA INTENSIVA,2015,6
XI,DOLORES,Municipales,Unid. Hospitalaria San Roque,TERAPIA INTENSIVA,2014,6
XI,DOLORES,Municipales,Unid. Hospitalaria San Roque,TERAPIA INTENSIVA,2013,5
XI,DOLORES,Municipales,Unid. Hospitalaria San Roque,TERAPIA INTENSIVA,2012,6
XI,DOLORES,Municipales,Unid. Hospitalaria San Roque,TERAPIA INTENSIVA,2011,6
XI,DOLORES,Municipales,Unid. Hospitalaria San Roque,TERAPIA INTENSIVA,2010,6
XI,DOLORES,Municipales,Unid. Hospitalaria San Roque,TERAPIA INTENSIVA,2009,5
XI,ENSENADA,Provinciales,Hosp. Zonal Gral. de Agudos Dr. H. Cestino,TERAPIA INTENSIVA,2016,5
XI,ENSENADA,Provinciales,Hosp. Zonal Gral. de Agudos Dr. H. Cestino,TERAPIA INTENSIVA,2015,6
XI,ENSENADA,Provinciales,"Hosp. Zonal Gral. de Agudos """"Dr. H. Cestino""",TERAPIA INTENSIVA,2014,5
XI,ENSENADA,Provinciales,"Hosp. Zonal Gral. de Agudos """"Dr. H. Cestino""",TERAPIA INTENSIVA,2013,3
XI,ENSENADA,Provinciales,"Hosp. Zonal Gral. de Agudos """"Dr. H. Cestino""",TERAPIA INTENSIVA,2011,2
XI,ENSENADA,Provinciales,"Hosp. Zonal Gral. de Agudos """"Dr. H. Cestino""",TERAPIA INTENSIVA,2010,6
XI,ENSENADA,Provinciales,"Hosp. Zonal Gral. de Agudos """"Dr. H. Cestino""",TERAPIA INTENSIVA,2009,6
XI,GRAL BELGRANO,Municipales,Hosp. Munic. Juan E. de la Fuente,TERAPIA INTENSIVA,2016,3
XI,GRAL BELGRANO,Municipales,Hosp. Munic. Juan E. de la Fuente,TERAPIA INTENSIVA,2015,3
XI,GRAL BELGRANO,Municipales,Hosp. Munic. Juan E. de la Fuente,TERAPIA INTENSIVA,2014,3
XI,GRAL BELGRANO,Municipales,Hosp. Munic. Juan E. de la Fuente,TERAPIA INTENSIVA,2013,3
XI,GRAL BELGRANO,Municipales,Hosp. Munic. Juan E. de la Fuente,TERAPIA INTENSIVA,2012,3
XI,GRAL BELGRANO,Municipales,Hosp. Munic. Juan E. de la Fuente,TERAPIA INTENSIVA,2011,2
XI,GRAL BELGRANO,Municipales,Hosp. Munic. Juan E. de la Fuente,TERAPIA INTENSIVA,2010,2
XI,SAN VICENTE,Municipales,Hosp. Subz. Gral. Dr. R. Carrillo,TERAPIA INTENSIVA,2015,4
XII,LA MATANZA,Municipales,Hosp. Mat. Infantil Dra. T. L. Germani,CUIDADOS ESPECIALES,2015,2
XII,LA MATANZA,Municipales,Hosp. Munic. de Niños de San Justo,TERAPIA INTENSIVA INFANTIL,2015,10
XII,LA MATANZA,Municipales,Policlínico Central San Justo,CUIDADOS ESPECIALES,2015,3
XII,LA MATANZA,Municipales,Policlínico Central San Justo,CUIDADOS ESPECIALES INFANTILES,2015,6
XII,LA MATANZA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Paroissien,TERAPIA INTENSIVA,2015,8
XII,LA MATANZA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Paroissien,UNIDAD CORONARIA,2015,7
XII,LA MATANZA,Provinciales,Hosp. Interz. Gral. de Ag. Dr. Paroissien,TERAPIA INTENSIVA NEONATOLOGICA,2015,13
XII,LA MATANZA,Provinciales,Hosp. Zonal de Ag. de González Catán Km.32,TERAPIA INTENSIVA,2015,12
XII,LA MATANZA,Provinciales,Hospital Zonal General de Agudos Dr. Alberto Balestrini,CUIDADOS INTENSIVOS,2015,12
I,PUAN,Municipales,Hosp. Munic. Gobernador Ugarte,TERAPIA INTENSIVA,2014,4
I,SAAVEDRA,Municipales,Hosp. y Maternidad Munic. O. F. Ducos,TERAPIA INTENSIVA,2014,4
I,TRES ARROYOS,Municipales,Hosp. Ignacio Pirovano,TERAPIA INTENSIVA,2014,5
I,BAHIA BLANCA,Municipales,Hosp. Munic. de Agudos Dr. Leónidas Lucero,TERAPIA INTENSIVA,2013,13
I,CARMEN DE PATAGONES,Municipales,Hosp. Munic. de Agudos Dr. Pedro Ecay,TERAPIA INTENSIVA,2013,4
I,CORONEL PRINGLES,Municipales,Hosp. Munic. Dr. Cabrera,TERAPIA INTENSIVA,2013,4
I,CORONEL SUAREZ,Municipales,Hosp. Munic. de Cnel. Suárez,TERAPIA INTENSIVA,2013,4
I,PUAN,Municipales,Hosp. Munic. Gobernador Ugarte,TERAPIA INTENSIVA,2013,4
I,SAAVEDRA,Municipales,Hosp. y Maternidad Munic. O. F. Ducos,TERAPIA INTENSIVA,2013,4
II,CARLOS CASARES,Municipales,Hosp. Munic. Dr. Julio F. Ramos,TERAPIA INTENSIVA,2014,5
II,NUEVE DE JULIO,Provinciales,Hosp. Zonal Gral. de Ag. Julio de Vedia,TERAPIA INTENSIVA,2014,3
II,TRENQUE LAUQUEN,Municipales,Hosp. Munic. Dr. Pedro T. Orellana,TERAPIA INTENSIVA,2014,12
II,TRES LOMAS,Municipales,Hosp. Munic. Dr. Domingo V. Girotti,TERAPIA INTENSIVA,2014,1
III,LINCOLN,Municipales,Hosp.Subz. Munic. Dr. R. O. Miravalle,TERAPIA INTENSIVA,2012,4
III,CHACABUCO,Municipales,Hosp. Munic. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2011,3
III,LINCOLN,Municipales,Hosp.Subz. Munic. Dr. R. O. Miravalle,TERAPIA INTENSIVA,2011,4
III,CHACABUCO,Municipales,Hosp. Munic. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2010,3
III,LINCOLN,Municipales,Hosp.Subz. Munic. Dr. R. O. Miravalle,TERAPIA INTENSIVA,2010,4
III,CHACABUCO,Municipales,Hosp. Munic. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2009,3
III,LINCOLN,Municipales,Hosp.Subz. Munic. Dr. R. O. Miravalle,TERAPIA INTENSIVA,2009,4
IV,SAN ANDRES DE GILES,Municipales,Hosp. Munic. San Andrés,TERAPIA INTENSIVA,2011,6
IV,SAN ANDRES DE GILES,Municipales,Hosp. Munic. San Andrés,UNIDAD CORONARIA,2011,5
IV,SAN ANTONIO DE ARECO,Municipales,Hosp. Munic. Emilio Zerboni,TERAPIA INTENSIVA,2011,4
IV,SAN PEDRO,Municipales,Hosp. Subz. Gral. Dr. E. Ruffo,TERAPIA INTENSIVA,2011,4
IV,CARMEN DE ARECO,Provinciales,Hosp. Local Gral. Ntra. Sra. del Carmen,TERAPIA INTENSIVA,2011,4
IV,PERGAMINO,Provinciales,Hosp. Interz. Gral. de Ag. San José,CUIDADOS INTENSIVOS,2011,10
IV,PERGAMINO,Provinciales,Hosp. Interz. Gral. de Ag. San José,TERAPIA INTENSIVA,2011,6
